x1;x2;Clase
11.3034455;536.486347;C2
10.1644948;3.39302974;C1
9.36384167;3.4662791;C1
1.71758171;3.1736868;C2
6.26468703;3.38746862;C1
9.96948149;63.9384092;C2
11.7433699;14.757106;C2
11.874752;13.7192019;C2
9.58037049;3.42547834;C1
11.2590411;3.49072422;C1
1.32618183;4.39702267;C2
12.350383;58.9211679;C2
0.02746666;1.03092077;C2
3.74553667;3.22849596;C1
0.13779107;3.18784598;C1
8.27936644;3.49935401;C1
1.49693289;4.48572215;C2
10.2377392;69.0190034;C2
9.06903287;3.47857051;C1
12.4401074;22.6431613;C2
0.7924131;2.53028974;C1
5.73320719;3.44315577;C1
0.5323954;10.0173283;C2
2.53242592;4.72197815;C2
9.2915128;11.3674831;C2
3.14172796;20.5978543;C2
9.52452162;3.43231276;C1
14.7912534;3.47320534;C1
14.6305734;3.41808872;C1
1.90527055;3.13719694;C1
12.5142674;3.36968132;C1
0.85833308;2.81712839;C1
11.8440809;3.35418886;C1
13.5525071;3.40217389;C1
5.25666066;24.9828126;C2
0.03570666;1.03658257;C2
2.08334605;13.0712069;C2
13.7809381;261.38567;C2
10.4849391;31.5307592;C2
11.7136143;3.46104997;C1
5.93050935;3.22922252;C1
12.7266762;28.82497;C2
11.2764367;3.39610713;C1
4.58418531;3.17806176;C1
4.28296762;9.39110461;C2
0.54567095;1.74704601;C2
6.47297586;80.0737218;C2
3.56196783;3.46501229;C1
4.92110965;3.21782503;C1
7.08960234;3.31001019;C1
6.6400647;11.4021873;C2
3.04376354;3.11156957;C1
3.29279458;3.20280598;C1
11.1281167;3.35227009;C1
0.62532426;2.6768092;C1
14.1219825;3.47557778;C1
5.97399823;7.92169457;C2
11.4297922;21.5417738;C2
14.5248268;27.7087372;C2
3.09732353;3.26640523;C1
9.90401929;62.2373692;C2
8.49818415;69.0314842;C2
4.60844752;3.15543562;C1
14.7514267;3.45141488;C1
10.5700858;3.42392187;C1
11.8527787;3.38192599;C1
0.51454207;2.55030179;C1
0.1780755;1.52949356;C2
0.76631977;2.5589982;C1
14.2249825;19.6862421;C2
4.06277657;3.30054593;C1
10.1004059;73.8328052;C2
11.9150365;3.37543243;C1
2.67113254;5.12725717;C2
9.21185949;14.5993617;C2
2.59559923;5.1530681;C2
11.2512589;34.1527354;C2
3.46217231;4.64449256;C2
10.1713614;287.740405;C2
12.7060762;18.9983532;C2
